Polluted element,Type of pollution,Georgia_Columbia_2017,Georgia_Washington_2016,Maryland_Baltimore_2017,Maryland_Minneapolis_2016,Minnesota_Aberdeen_2016,Minnesota_Albany_2017,Minnesota_Hastings_2017
Air,,-38.28,44.62,33.58,-8.18,63.63,59.59,14.10
,  Noise,-88.27,-46.15,-55.91,-94.73,59.66,94.11,3.36
,  Thermal,49.85,87.86,77.34,34.45,61.37,98.18,7.58
,  Urban Activities,-76.42,92.14,79.32,35.75,69.87,-13.51,31.35
Soil,,6.94,89.70,35.99,-49.47,-20.84,-21.45,18.46
,  Inorganic Fertilizers,52.66,93.19,-48.03,-89.11,72.88,-6.81,32.63
,  Light,44.27,84.67,76.28,35.22,-69.66,-33.94,6.37
,  Solid Waste,-76.12,91.24,79.72,-94.53,-65.75,-23.61,16.39
Average,,-15.67,67.16,34.79,-28.82,21.39,19.07,16.28
,  ,-15.67,67.16,34.79,-28.82,21.39,19.07,16.28
