Characteristic,Intensity,2015_Florida_Hastings,2015_Florida_Port Huron,2015_Florida_Tampa,2021_Minnesota_Flint,2021_Minnesota_Minneapolis,2022_Michigan_Fort Lauderdale,2022_Michigan_Rochester
Maximum,,23.38,24.86,5.57,17.66,27.44,11.55,27.18
,  ,23.38,24.86,5.57,17.66,27.44,11.55,27.18
Temperature,,22.99,22.70,4.59,17.66,27.44,9.72,27.18
,  11-20,17.38,19.58,0.64,13.98,24.08,7.86,24.00
,  Breeze,22.99,22.70,4.59,17.66,9.93,9.19,21.04
,  Storm,18.87,21.59,3.42,15.83,27.44,9.72,27.18
Wind,,23.38,24.86,5.57,13.04,24.93,11.55,26.01
,  11-20,23.38,24.86,5.57,13.04,12.56,11.55,24.04
,  31-40,18.26,20.30,1.20,7.51,24.93,8.26,26.01
,  Calm,6.13,21.22,4.09,10.25,8.43,10.19,23.12
