Quarter,Month,Culture_Hospital,Culture_Theatre,Production_Factory,Production_School,Service_Museum,Service_Workshop,Minimum,State,City
Q1,,40.61,1.15,84.43,24.18,12.08,63.96,1.15,,
,  December,57.38,7.89,93.72,37.46,18.47,77.92,7.89,Maryland,Baltimore
,  January,49.40,4.64,87.29,31.01,18.86,68.64,4.64,Maryland,Aberdeen
,  October,40.61,1.15,84.43,24.18,12.08,63.96,1.15,Maryland,Baltimore
Q3,,43.36,0.81,85.63,26.63,15.92,63.71,0.81,,
,  August,51.74,0.81,89.92,34.92,18.80,72.11,0.81,Maryland,Baltimore
,  November,43.36,2.03,85.63,26.63,15.92,63.71,2.03,Maryland,Aberdeen
,  October,59.05,8.58,92.04,37.30,22.22,80.34,8.58,Maryland,Aberdeen
Q4,,39.51,0.33,82.22,24.04,8.22,60.30,0.33,,
,  December,39.51,0.33,82.22,24.04,8.22,60.30,0.33,Maryland,Aberdeen
,  February,44.84,3.47,86.87,28.09,17.37,65.69,3.47,Maryland,Baltimore
,  July,56.97,3.65,92.94,34.72,20.40,76.02,3.65,Maryland,Aberdeen
Minimum,,39.51,0.33,82.22,24.04,8.22,60.30,0.33,,
,  ,39.51,0.33,82.22,24.04,8.22,60.30,0.33,,
