Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Maryland,Baltimore,Wind,Storm,0.93
2017,Maryland,Baltimore,Temperature,Breeze,1.61
2017,Maryland,Baltimore,Humidity,Calm,2.78
2017,Maryland,Baltimore,Wind,11-20,3.58
2017,Maryland,Baltimore,Temperature,0-10,4.14
2017,Maryland,Baltimore,Humidity,21-30,1.38
2017,Maryland,Baltimore,Wind,Low,6.0
2017,Maryland,Baltimore,Temperature,High,2.03
2017,Maryland,Baltimore,Humidity,Medium,8.06
2015,Illinois,Aberdeen,Wind,Storm,9.62
2015,Illinois,Aberdeen,Temperature,Breeze,1.79
2015,Illinois,Aberdeen,Humidity,Calm,3.23
2015,Illinois,Aberdeen,Wind,11-20,12.75
2015,Illinois,Aberdeen,Temperature,0-10,13.85
2015,Illinois,Aberdeen,Humidity,21-30,13.79
2015,Illinois,Aberdeen,Wind,Low,15.1
2015,Illinois,Aberdeen,Temperature,High,16.28
2015,Illinois,Aberdeen,Humidity,Medium,17.14
2022,Maryland,Champaign,Wind,Storm,16.08
2022,Maryland,Champaign,Temperature,Breeze,16.69
2022,Maryland,Champaign,Humidity,Calm,15.93
2022,Maryland,Champaign,Wind,11-20,18.03
2022,Maryland,Champaign,Temperature,0-10,21.96
2022,Maryland,Champaign,Humidity,21-30,22.83
2022,Maryland,Champaign,Wind,Low,24.48
2022,Maryland,Champaign,Temperature,High,24.01
2022,Maryland,Champaign,Humidity,Medium,25.21
2017,Illinois,Springfield,Wind,Storm,27.16
2017,Illinois,Springfield,Temperature,Breeze,21.14
2017,Illinois,Springfield,Humidity,Calm,22.31
2017,Illinois,Springfield,Wind,11-20,10.05
2017,Illinois,Springfield,Temperature,0-10,16.27
2017,Illinois,Springfield,Humidity,21-30,17.73
2017,Illinois,Springfield,Wind,Low,17.12
2017,Illinois,Springfield,Temperature,High,17.95
2017,Illinois,Springfield,Humidity,Medium,18.76
