Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Hospital,Q3,September,2.39
Service,Hospital,Q4,July,3.7
Service,Hospital,Q2,November,4.41
Service,Hospital,Q3,October,7.52
Service,Hospital,Q4,April,18.14
Service,Hospital,Q2,May,27.77
Service,Hospital,Q3,June,27.42
Service,Hospital,Q4,September,27.91
Service,Hospital,Q2,July,30.92
Culture,Library,Q3,September,30.81
Culture,Library,Q4,July,37.29
Culture,Library,Q2,November,40.07
Culture,Library,Q3,October,40.17
Culture,Library,Q4,April,44.54
Culture,Library,Q2,May,50.94
Culture,Library,Q3,June,52.19
Culture,Library,Q4,September,59.75
Culture,Library,Q2,July,60.9
Service,Museum,Q3,September,63.86
Service,Museum,Q4,July,67.88
Service,Museum,Q2,November,74.92
Service,Museum,Q3,October,75.42
Service,Museum,Q4,April,76.36
Service,Museum,Q2,May,77.74
Service,Museum,Q3,June,77.27
Service,Museum,Q4,September,79.33
Service,Museum,Q2,July,80.66
Culture,Concert,Q3,September,78.8
Culture,Concert,Q4,July,83.94
Culture,Concert,Q2,November,87.72
Culture,Concert,Q3,October,88.1
Culture,Concert,Q4,April,90.31
Culture,Concert,Q2,May,93.55
Culture,Concert,Q3,June,94.51
Culture,Concert,Q4,September,97.07
Culture,Concert,Q2,July,98.46
