Polluted element,Type of pollution,Massachusetts_Las Vegas,Massachusetts_Lenox,Nevada_Boston,Nevada_Boulder City,Nevada_Cambridge,Average
Air,,47.37,-49.90,-29.55,-24.30,23.60,-6.56
,  Inorganic Fertilizers,56.46,-43.82,-13.88,-96.59,73.97,-4.77
,  Light,39.84,-56.51,-38.48,5.40,-69.12,-23.77
,  Oxygen-depletion,45.81,-49.38,-36.30,18.30,65.96,8.88
Soil,,52.75,-2.49,-21.91,-16.46,70.01,16.38
,  Light,59.76,-41.56,-7.26,-91.80,75.84,-1.00
,  Surface water,55.44,83.76,-19.54,28.69,71.23,43.92
,  Thermal,43.06,-49.67,-38.93,13.74,62.95,6.23
Water,,-36.82,39.18,18.73,12.85,26.00,11.99
,  Chemical,-81.59,82.23,-23.09,26.92,71.85,15.26
,  Noise,-87.04,77.93,91.57,11.58,60.30,30.87
,  Urban Activities,58.18,-42.63,-12.29,0.05,-54.16,-10.17
Average,,21.10,-4.41,-10.91,-9.30,39.87,7.27
,  ,21.10,-4.41,-10.91,-9.30,39.87,7.27
