Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Museum,Q2,April,6.88
Culture,Museum,Q4,May,7.75
Culture,Museum,Q3,October,7.89
Culture,Museum,Q2,November,7.07
Culture,Museum,Q4,December,10.71
Culture,Museum,Q3,September,11.66
Culture,Museum,Q2,August,12.73
Culture,Museum,Q4,April,11.54
Culture,Museum,Q3,May,10.51
Production,Theatre,Q2,April,15.41
Production,Theatre,Q4,May,16.92
Production,Theatre,Q3,October,18.75
Production,Theatre,Q2,November,18.47
Production,Theatre,Q4,December,19.03
Production,Theatre,Q3,September,19.99
Production,Theatre,Q2,August,26.72
Production,Theatre,Q4,April,27.43
Production,Theatre,Q3,May,31.89
Service,Factory,Q2,April,31.14
Service,Factory,Q4,May,33.11
Service,Factory,Q3,October,34.24
Service,Factory,Q2,November,35.79
Service,Factory,Q4,December,33.54
Service,Factory,Q3,September,33.37
Service,Factory,Q2,August,38.96
Service,Factory,Q4,April,44.78
Service,Factory,Q3,May,44.68
Culture,Workshop,Q2,April,46.9
Culture,Workshop,Q4,May,44.22
Culture,Workshop,Q3,October,50.82
Culture,Workshop,Q2,November,52.84
Culture,Workshop,Q4,December,54.88
Culture,Workshop,Q3,September,55.48
Culture,Workshop,Q2,August,56.82
Culture,Workshop,Q4,April,54.94
Culture,Workshop,Q3,May,58.2
Production,Administration,Q2,April,61.34
Production,Administration,Q4,May,62.82
Production,Administration,Q3,October,62.48
Production,Administration,Q2,November,62.62
Production,Administration,Q4,December,63.73
Production,Administration,Q3,September,63.54
Production,Administration,Q2,August,67.06
Production,Administration,Q4,April,68.99
Production,Administration,Q3,May,65.7
Service,Library,Q2,April,67.66
Service,Library,Q4,May,71.87
Service,Library,Q3,October,72.34
Service,Library,Q2,November,72.2
Service,Library,Q4,December,74.57
Service,Library,Q3,September,77.02
Service,Library,Q2,August,81.55
Service,Library,Q4,April,82.85
Service,Library,Q3,May,81.73
Culture,School,Q2,April,84.73
Culture,School,Q4,May,82.37
Culture,School,Q3,October,81.16
Culture,School,Q2,November,91.31
Culture,School,Q4,December,92.57
Culture,School,Q3,September,93.13
Culture,School,Q2,August,6.36
Culture,School,Q4,April,96.2
Culture,School,Q3,May,97.8
