Quarter,Month,Production_Factory,Production_Library,Production_School,Service_Hospital,Service_Workshop,Minimum,State,City
Q1,,7.02,91.15,46.66,78.18,21.48,7.02,,
,  January,19.60,98.23,61.52,86.86,32.93,19.60,Illinois,Springfield
,  June,7.02,91.15,46.66,78.18,21.48,7.02,Illinois,Springfield
,  November,10.89,95.05,57.55,82.57,28.39,10.89,Illinois,Champaign
Q2,,6.98,87.67,34.72,62.46,20.47,6.98,,
,  April,6.98,87.67,34.72,62.46,20.47,6.98,Illinois,Springfield
,  December,8.01,92.36,48.44,80.38,21.10,8.01,Illinois,Champaign
,  March,15.96,97.17,59.36,81.26,30.97,15.96,Illinois,Springfield
Q4,,7.20,89.79,38.74,64.40,21.51,7.20,,
,  February,17.67,98.50,59.29,85.52,31.55,17.67,Illinois,Champaign
,  May,7.20,89.79,38.74,64.40,21.51,7.20,Illinois,Champaign
,  October,10.57,92.98,56.77,81.08,25.27,10.57,Illinois,Springfield
Minimum,,6.98,87.67,34.72,62.46,20.47,6.98,,
,  ,6.98,87.67,34.72,62.46,20.47,6.98,,
