Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,0-10,4.57
2021,Wind,31-40,5.89
2021,Humidity,11-20,6.95
2021,Temperature,Breeze,8.59
2021,Wind,Storm,12.3
2021,Humidity,Calm,13.26
2021,Temperature,High,14.63
2021,Wind,Low,14.91
2021,Humidity,0-10,14.19
2022,Temperature,0-10,18.0
2022,Wind,31-40,19.3
2022,Humidity,11-20,18.74
2022,Temperature,Breeze,22.34
2022,Wind,Storm,23.84
2022,Humidity,Calm,22.66
2022,Temperature,High,22.31
2022,Wind,Low,26.03
2022,Humidity,0-10,27.22
