Characteristic,Intensity,2015_Minnesota_Minneapolis,2015_Minnesota_Salem,2021_Oregon_Portland,2021_Oregon_Redmond,2021_Oregon_Rochester
Humidity,,20.59,11.36,4.39,17.24,27.07
,  Calm,20.59,11.36,4.39,17.24,26.20
,  Low,19.95,9.04,3.57,11.21,27.07
,  Medium,19.64,7.80,1.56,9.12,25.05
Wind,,24.08,12.88,5.67,18.55,26.45
,  Breeze,22.26,9.68,4.78,9.48,26.27
,  High,19.37,7.04,1.24,14.77,26.45
,  Storm,24.08,12.88,5.67,18.55,19.66
Maximum,,24.08,12.88,5.67,18.55,27.07
,  ,24.08,12.88,5.67,18.55,27.07
