Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2016,Q3,Drowning,Fatal,97.95
Female,2016,Q3,Fire,Serious,67.39
Female,2016,Q3,Traffic,Fatal,39.42
Female,2022,Q3,Drowning,Fatal,74.87
Female,2022,Q3,Fire,Serious,45.73
Female,2022,Q3,Traffic,Fatal,46.26
Female,2015,Q3,Drowning,Fatal,16.37
Female,2015,Q3,Fire,Serious,16.34
Female,2015,Q3,Traffic,Fatal,51.85
Female,2016,Q3,Drowning,Fatal,83.99
Female,2016,Q3,Fire,Serious,21.08
Female,2016,Q3,Traffic,Fatal,24.59
Female,2022,Q3,Drowning,Fatal,57.58
Female,2022,Q3,Fire,Serious,58.16
Female,2022,Q3,Traffic,Fatal,59.41
