Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Temperature,11-20,0.66
2020,Humidity,31-40,1.02
2020,Wind,0-10,1.6
2020,Temperature,Medium,4.48
2020,Humidity,High,5.84
2020,Wind,Calm,5.91
2020,Temperature,Breeze,7.11
2020,Humidity,11-20,8.3
2020,Wind,31-40,8.56
2021,Temperature,11-20,12.58
2021,Humidity,31-40,14.83
2021,Wind,0-10,14.59
2021,Temperature,Medium,17.35
2021,Humidity,High,20.22
2021,Wind,Calm,21.66
2021,Temperature,Breeze,22.27
2021,Humidity,11-20,22.1
2021,Wind,31-40,26.54
