Polluted element,Type of pollution,Georgia_Columbus_2022,Georgia_Reno_2022,Nevada_Boulder City_2021,Nevada_Las Vegas_2021,Nevada_Washington_2021
Average,,9.38,-30.42,-8.39,6.03,5.76
,  ,9.38,-30.42,-8.39,6.03,5.76
Air,,36.44,-55.67,-8.02,39.45,5.87
,  Industrial,85.91,-87.71,10.91,-65.90,97.28
,  Inferior Irrigation,95.64,-70.09,-98.13,75.94,-2.88
,  Inorganic Fertilizers,-50.76,-93.57,1.56,58.17,-31.98
,  Solid Waste,91.81,55.85,27.58,70.86,-12.94
,  Thermal,-40.42,-82.81,17.97,58.16,-20.13
Soil,,32.27,-6.75,14.91,-11.82,30.29
,  Chemical,-43.72,49.83,19.26,-63.24,-16.54
,  Inferior Irrigation,-49.04,40.57,8.92,-65.97,98.24
,  Noise,85.96,42.49,16.73,-62.46,-22.61
,  Solid Waste,74.14,-95.15,-0.19,58.23,97.56
,  Urban Activities,94.02,-71.50,29.82,74.34,-5.22
Water,,-40.56,-28.84,-32.07,-9.53,-18.89
,  Industrial,-32.42,59.17,-95.08,-52.04,-1.15
,  Inorganic Fertilizers,-35.13,-72.95,-99.11,72.08,-7.56
,  Light,-43.66,-88.37,13.50,60.00,-32.97
,  Surface water,-39.30,47.69,18.19,-61.59,-20.87
,  Urban Activities,-52.29,-89.75,2.16,-66.08,-31.88
