Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2018,Illinois,Champaign,Temperature,21-30,0.84
2018,Illinois,Champaign,Humidity,0-10,1.92
2018,Illinois,Champaign,Temperature,Low,1.07
2018,Illinois,Champaign,Humidity,High,2.04
2020,Minnesota,Springfield,Temperature,21-30,2.54
2020,Minnesota,Springfield,Humidity,0-10,0.0
2020,Minnesota,Springfield,Temperature,Low,6.52
2020,Minnesota,Springfield,Humidity,High,7.96
2022,Oregon,Rochester,Temperature,21-30,8.34
2022,Oregon,Rochester,Humidity,0-10,9.88
2022,Oregon,Rochester,Temperature,Low,9.46
2022,Oregon,Rochester,Humidity,High,8.82
2018,Illinois,Hastings,Temperature,21-30,8.24
2018,Illinois,Hastings,Humidity,0-10,5.65
2018,Illinois,Hastings,Temperature,Low,16.12
2018,Illinois,Hastings,Humidity,High,17.33
2020,Minnesota,Minneapolis,Temperature,21-30,19.13
2020,Minnesota,Minneapolis,Humidity,0-10,19.73
2020,Minnesota,Minneapolis,Temperature,Low,21.16
2020,Minnesota,Minneapolis,Humidity,High,22.69
2022,Oregon,Redmond,Temperature,21-30,23.12
2022,Oregon,Redmond,Humidity,0-10,24.19
2022,Oregon,Redmond,Temperature,Low,25.48
2022,Oregon,Redmond,Humidity,High,24.78
2018,Illinois,Salem,Temperature,21-30,27.38
2018,Illinois,Salem,Humidity,0-10,25.06
2018,Illinois,Salem,Temperature,Low,26.29
2018,Illinois,Salem,Humidity,High,1.63
