Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2022,Q1,Traffic,Serious,69.09
Female,2022,Q1,Drowning,Slight,90.46
Female,2022,Q1,Fire,Serious,39.04
Female,2017,Q2,Traffic,Serious,40.4
Female,2017,Q2,Drowning,Slight,13.95
Female,2017,Q2,Fire,Serious,23.74
Female,2022,Q1,Traffic,Serious,52.95
Female,2022,Q1,Drowning,Slight,54.58
Female,2022,Q1,Fire,Serious,23.71
Female,2017,Q2,Traffic,Serious,22.48
Female,2017,Q2,Drowning,Slight,25.33
Female,2017,Q2,Fire,Serious,26.18
Female,2022,Q1,Traffic,Serious,23.86
Female,2022,Q1,Drowning,Slight,30.34
Female,2022,Q1,Fire,Serious,57.68
