Polluted element,Type of pollution,Massachusetts_Cambridge,Massachusetts_Rochester,Minnesota_Hastings,Minnesota_Lenox,Average
Air,Chemical,8.55,75.88,-31.85,38.09,22.67
,Groundwater,-0.99,68.55,88.56,33.41,47.38
,Light,9.07,66.10,-25.57,-29.83,4.94
Soil,Industrial,16.18,77.92,-14.98,-87.19,-2.02
,Noise,12.16,74.19,42.81,42.41,42.90
,Surface water,6.95,72.18,-32.23,38.52,21.36
Water,Inferior Irrigation,13.02,75.28,-15.88,40.31,28.18
,Oxygen-depletion,6.84,-57.10,93.70,-96.73,-13.32
,Thermal,10.87,-55.97,40.27,-22.81,-6.91
Average,,9.18,44.11,16.09,-4.87,16.13
