Characteristic,Intensity,2018_Massachusetts_Albany,2018_Massachusetts_Lenox,2019_Florida_Boston,2019_Florida_Columbus,2019_Florida_Fort Lauderdale,2021_Georgia_Cambridge,2021_Georgia_Tampa,2021_Georgia_Washington
Maximum,,26.11,17.91,23.70,17.77,14.68,20.44,27.93,7.69
,  ,26.11,17.91,23.70,17.77,14.68,20.44,27.93,7.69
Humidity,,25.02,17.03,23.51,13.69,13.89,19.19,27.93,7.12
,  11-20,25.02,17.03,23.51,13.69,13.89,19.19,8.01,7.12
,  21-30,14.35,14.37,20.60,4.30,9.59,17.43,27.93,1.09
,  High,16.54,16.18,22.76,13.29,13.27,18.38,22.85,4.32
Temperature,,24.62,16.03,23.12,15.17,13.75,19.48,26.16,3.05
,  11-20,17.33,14.36,20.38,9.96,2.69,17.79,26.16,0.50
,  Low,15.78,15.76,0.90,12.48,11.28,18.59,5.68,3.05
,  Storm,24.62,16.03,23.12,15.17,13.75,19.48,7.91,0.60
Wind,,26.11,17.91,23.70,17.77,14.68,20.44,25.93,7.69
,  21-30,26.11,17.91,23.70,17.77,14.68,20.44,8.41,7.69
,  Breeze,18.88,16.41,22.88,14.72,13.16,17.19,25.93,1.19
,  Medium,20.68,15.22,20.89,0.59,10.58,5.06,25.05,2.01
