Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2018,Q1,Drowning,Serious,64.67
Female,2018,Q1,Traffic,Slight,34.52
Female,2018,Q1,Fire,Serious,67.54
Female,2021,Q1,Drowning,Serious,41.62
Female,2021,Q1,Traffic,Slight,42.8
Female,2021,Q1,Fire,Serious,45.66
Female,2018,Q1,Drowning,Serious,79.38
Female,2018,Q1,Traffic,Slight,20.8
Female,2018,Q1,Fire,Serious,86.94
Female,2021,Q1,Drowning,Serious,24.95
Female,2021,Q1,Traffic,Slight,60.48
Female,2021,Q1,Fire,Serious,31.92
