Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,Medium,1.11
2019,Wind,High,2.76
2019,Temperature,Storm,4.98
2019,Humidity,Calm,5.61
2019,Wind,Breeze,5.04
2019,Temperature,0-10,5.92
2019,Humidity,11-20,8.98
2019,Wind,Medium,8.92
2019,Temperature,High,6.8
2022,Humidity,Medium,11.51
2022,Wind,High,7.79
2022,Temperature,Storm,13.01
2022,Humidity,Calm,14.25
2022,Wind,Breeze,21.77
2022,Temperature,0-10,22.55
2022,Humidity,11-20,23.81
2022,Wind,Medium,21.7
2022,Temperature,High,25.14
