Polluted element,Type of pollution,Minnesota_Las Vegas_2021,Minnesota_Rochester_2017,Nevada_Boulder City_2020,Nevada_Hastings_2019
Average,,7.46,-7.78,10.21,12.40
,  ,7.46,-7.78,10.21,12.40
Air,,52.63,-15.86,-15.08,-13.14
,  Inferior Irrigation,47.98,-32.67,13.82,-66.85
,  Thermal,52.69,-12.33,27.57,71.19
,  Urban Activities,57.22,-2.59,-86.62,-43.76
Soil,,5.63,-27.58,18.97,23.47
,  Groundwater,48.94,-31.04,26.42,-65.25
,  Industrial,-85.35,-43.14,1.49,58.43
,  Noise,53.29,-8.57,29.00,77.24
Water,,-35.87,20.09,26.73,26.86
,  Industrial,-74.40,-3.85,40.52,79.61
,  Oxygen-depletion,49.21,99.43,27.05,-59.43
,  Urban Activities,-82.42,-35.30,12.61,60.40
