Characteristic,Intensity,2016_Minnesota_Baltimore,2021_Maryland_Rochester,2022_Maryland_Aberdeen,2022_Minnesota_Hastings,Maximum
Humidity,,21.26,17.27,27.82,9.40,27.82
,  High,21.26,15.85,27.82,9.03,27.82
,  Medium,21.08,17.27,20.21,9.40,21.08
,  Storm,15.11,9.59,23.57,0.42,23.57
Wind,,22.17,16.73,26.49,10.85,26.49
,  Breeze,11.00,12.49,24.22,0.26,24.22
,  Calm,20.08,14.03,26.49,5.90,26.49
,  Low,22.17,16.73,20.39,10.85,22.17
Maximum,,22.17,17.27,27.82,10.85,27.82
,  ,22.17,17.27,27.82,10.85,27.82
