Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Temperature,31-40,2.14
2019,Humidity,21-30,4.45
2019,Temperature,11-20,4.12
2019,Humidity,Medium,6.25
2019,Temperature,Low,7.32
2019,Humidity,High,6.55
2018,Temperature,31-40,11.63
2018,Humidity,21-30,12.83
2018,Temperature,11-20,15.93
2018,Humidity,Medium,16.5
2018,Temperature,Low,17.13
2018,Humidity,High,15.9
2022,Temperature,31-40,17.86
2022,Humidity,21-30,20.78
2022,Temperature,11-20,21.67
2022,Humidity,Medium,22.0
2022,Temperature,Low,23.8
2022,Humidity,High,24.5
