Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,Low,5.88
2020,Temperature,High,6.92
2020,Wind,31-40,6.87
2020,Humidity,0-10,8.52
2020,Temperature,Calm,9.63
2020,Wind,Breeze,10.63
2020,Humidity,Storm,11.41
2020,Temperature,Low,12.74
2020,Wind,High,13.48
2015,Humidity,Low,14.89
2015,Temperature,High,14.53
2015,Wind,31-40,12.22
2015,Humidity,0-10,17.04
2015,Temperature,Calm,17.84
2015,Wind,Breeze,15.28
2015,Humidity,Storm,17.74
2015,Temperature,Low,16.41
2015,Wind,High,21.26
2016,Humidity,Low,18.87
2016,Temperature,High,24.15
2016,Wind,31-40,25.77
2016,Humidity,0-10,26.09
2016,Temperature,Calm,27.84
2016,Wind,Breeze,27.75
2016,Humidity,Storm,27.51
2016,Temperature,Low,14.04
2016,Wind,High,18.88
