Polluted element,Type of pollution,Maryland_Aberdeen_2016,Maryland_Flint_2016,Michigan_Columbia_2017,Michigan_Detroit_2017,Michigan_Port Huron_2017,Average
Air,Industrial,73.88,-87.66,99.42,-72.41,10.86,4.82
,Inorganic Fertilizers,79.96,-85.82,-21.55,-65.10,19.20,-14.66
,Noise,69.29,35.39,93.55,-75.65,2.31,24.98
,Surface water,-42.56,-80.71,-8.49,-62.27,30.99,-32.61
Soil,Chemical,-44.14,-83.22,-15.42,63.81,22.27,-11.34
,Inferior Irrigation,75.03,-86.16,99.87,59.05,11.19,31.80
,Noise,88.92,-79.20,-5.06,64.26,33.61,20.51
,Thermal,69.91,-90.82,-34.22,-74.77,7.50,-24.48
Water,Groundwater,86.91,46.29,-14.30,64.07,26.62,41.92
,Light,73.29,38.58,96.83,-73.54,8.53,28.74
,Solid Waste,-52.61,-85.15,-26.65,61.87,12.47,-18.01
,Thermal,92.47,49.52,-2.66,68.77,33.89,48.40
Average,,47.53,-42.41,21.78,-3.49,18.29,8.34
