Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2020,Q3,Traffic,Fatal,32.55
Male,2020,Q3,Drowning,Serious,33.0
Male,2020,Q3,Fire,Slight,33.79
Male,2017,Q2,Traffic,Fatal,39.15
Male,2017,Q2,Drowning,Serious,75.73
Male,2017,Q2,Fire,Slight,13.7
Male,2020,Q3,Traffic,Fatal,15.06
Male,2020,Q3,Drowning,Serious,80.96
Male,2020,Q3,Fire,Slight,19.59
Male,2017,Q2,Traffic,Fatal,20.66
Male,2017,Q2,Drowning,Serious,23.3
Male,2017,Q2,Fire,Slight,57.77
Male,2020,Q3,Traffic,Fatal,26.61
Male,2020,Q3,Drowning,Serious,63.82
Male,2020,Q3,Fire,Slight,31.74
