Characteristic,Intensity,2015_Maryland_Reno,2020_Maryland_Las Vegas,2020_Nevada_Baltimore,2021_Maryland_Aberdeen,2021_Nevada_Boulder City
Humidity,0-10,25.97,6.80,16.94,7.10,27.04
,Medium,17.67,8.63,10.25,1.28,27.17
,Storm,22.85,12.09,13.37,3.71,5.16
Temperature,11-20,22.04,17.11,8.38,3.10,25.96
,High,17.30,3.68,12.70,3.47,4.90
,Low,26.58,21.61,18.67,7.99,7.85
Wind,Breeze,17.24,4.96,14.12,5.63,6.27
,Low,18.84,8.20,8.28,1.84,22.54
,Medium,26.72,21.07,17.99,8.59,5.32
Maximum,,26.72,21.61,18.67,8.59,27.17
