Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2022,Q1,Cereals,Seeds,257.21
Export,2022,Q1,Dairy,Corn,257.5
Export,2022,Q1,Meat,Soybeans,643.47
Export,2022,Q1,Cereals,Yoghurt,518.24
Export,2022,Q1,Dairy,Cheese,903.78
Export,2022,Q1,Meat,Duck,270.58
Export,2022,Q1,Cereals,Chicken,654.13
Export,2022,Q1,Dairy,Camel,17.64
Export,2022,Q1,Meat,Seeds,18.22
Export,2020,Q1,Cereals,Seeds,151.72
Export,2020,Q1,Dairy,Corn,922.75
Export,2020,Q1,Meat,Soybeans,28.15
Export,2020,Q1,Cereals,Yoghurt,540.48
Export,2020,Q1,Dairy,Cheese,802.21
Export,2020,Q1,Meat,Duck,290.13
Export,2020,Q1,Cereals,Chicken,683.1
Export,2020,Q1,Dairy,Camel,685.23
Export,2020,Q1,Meat,Seeds,818.11
Export,2015,Q1,Cereals,Seeds,563.21
Export,2015,Q1,Dairy,Corn,820.9
Export,2015,Q1,Meat,Soybeans,435.24
Export,2015,Q1,Cereals,Yoghurt,696.03
Export,2015,Q1,Dairy,Cheese,441.18
Export,2015,Q1,Meat,Duck,700.95
Export,2015,Q1,Cereals,Chicken,574.53
Export,2015,Q1,Dairy,Camel,194.76
Export,2015,Q1,Meat,Seeds,708.1
Export,2022,Q1,Cereals,Seeds,70.67
Export,2022,Q1,Dairy,Corn,969.32
Export,2022,Q1,Meat,Soybeans,586.78
Export,2022,Q1,Cereals,Yoghurt,204.27
Export,2022,Q1,Dairy,Cheese,208.35
Export,2022,Q1,Meat,Duck,592.7
Export,2022,Q1,Cereals,Chicken,338.77
Export,2022,Q1,Dairy,Camel,978.76
Export,2022,Q1,Meat,Seeds,981.17
Export,2020,Q1,Cereals,Seeds,987.2
Export,2020,Q1,Dairy,Corn,475.54
Export,2020,Q1,Meat,Soybeans,93.35
Export,2020,Q1,Cereals,Yoghurt,864.99
Export,2020,Q1,Dairy,Cheese,112.46
Export,2020,Q1,Meat,Duck,370.61
Export,2020,Q1,Cereals,Chicken,757.58
Export,2020,Q1,Dairy,Camel,885.67
Export,2020,Q1,Meat,Seeds,763.24
