Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q2,April,10.83
Service,Library,Q1,May,12.09
Service,Library,Q2,June,16.57
Service,Library,Q1,March,18.95
Service,Library,Q2,February,27.77
Service,Library,Q1,April,28.09
Residential,Hospital,Q2,April,29.22
Residential,Hospital,Q1,May,30.0
Residential,Hospital,Q2,June,31.06
Residential,Hospital,Q1,March,28.41
Residential,Hospital,Q2,February,34.58
Residential,Hospital,Q1,April,37.62
Production,Hotel,Q2,April,39.74
Production,Hotel,Q1,May,41.2
Production,Hotel,Q2,June,45.58
Production,Hotel,Q1,March,47.97
Production,Hotel,Q2,February,48.31
Production,Hotel,Q1,April,53.91
Service,Apartment,Q2,April,54.25
Service,Apartment,Q1,May,55.85
Service,Apartment,Q2,June,59.81
Service,Apartment,Q1,March,60.94
Service,Apartment,Q2,February,60.03
Service,Apartment,Q1,April,63.38
Residential,House,Q2,April,70.9
Residential,House,Q1,May,71.58
Residential,House,Q2,June,70.26
Residential,House,Q1,March,73.8
Residential,House,Q2,February,74.87
Residential,House,Q1,April,75.31
Production,Factory,Q2,April,76.49
Production,Factory,Q1,May,76.3
Production,Factory,Q2,June,76.8
Production,Factory,Q1,March,79.39
Production,Factory,Q2,February,79.86
Production,Factory,Q1,April,84.94
Service,Workshop,Q2,April,84.86
Service,Workshop,Q1,May,86.5
Service,Workshop,Q2,June,88.61
Service,Workshop,Q1,March,94.43
Service,Workshop,Q2,February,94.93
Service,Workshop,Q1,April,97.71
