Polluted element,Type of pollution,Florida_Aberdeen,Florida_Fort Lauderdale,Maryland_Baltimore,Maryland_Tampa,Average
Air,,48.94,-22.71,18.59,8.91,13.43
,  Inferior Irrigation,56.90,-7.53,33.50,87.97,42.71
,  Noise,43.11,-37.68,4.53,-0.22,2.44
,  Oxygen-depletion,46.80,-22.91,17.74,-61.01,-4.85
Soil,,52.66,-14.49,-15.56,-5.73,4.22
,  Light,60.56,-3.62,-86.34,-39.63,-17.26
,  Thermal,42.92,-29.92,16.23,-61.11,-7.97
,  Urban Activities,54.51,-9.92,23.44,83.56,37.90
Water,,6.44,25.25,-18.40,-37.78,-6.12
,  Light,42.71,96.75,15.13,-62.51,23.02
,  Noise,56.45,-5.41,-89.15,-41.07,-19.80
,  Surface water,-79.83,-15.58,18.82,-9.75,-21.59
Average,,36.01,-3.98,-5.12,-11.53,3.85
,  ,36.01,-3.98,-5.12,-11.53,3.85
