Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2015,Beverage,Juice,768.78
Export,2015,Meat,Coffee,385.15
Export,2015,Dairy,Soda,255.27
Export,2015,Beverage,Beef,517.12
Export,2015,Meat,Pork,395.25
Export,2015,Dairy,Milk,396.4
Export,2015,Beverage,Yoghurt,909.46
Export,2015,Meat,Juice,792.53
Export,2015,Dairy,Coffee,923.48
Export,2018,Beverage,Juice,544.87
Export,2018,Meat,Coffee,161.9
Export,2018,Dairy,Soda,416.48
Export,2018,Beverage,Beef,164.66
Export,2018,Meat,Pork,298.13
Export,2018,Dairy,Milk,43.1
Export,2018,Beverage,Yoghurt,42.34
Export,2018,Meat,Juice,686.89
Export,2018,Dairy,Coffee,562.17
Export,2019,Beverage,Juice,580.6
Export,2019,Meat,Coffee,710.35
Export,2019,Dairy,Soda,967.71
Export,2019,Beverage,Beef,80.22
Export,2019,Meat,Pork,81.07
Export,2019,Dairy,Milk,81.69
Export,2019,Beverage,Yoghurt,851.85
Export,2019,Meat,Juice,603.72
Export,2019,Dairy,Coffee,96.82
Export,2015,Beverage,Juice,482.0
Export,2015,Meat,Coffee,996.85
Export,2015,Dairy,Soda,876.07
Export,2015,Beverage,Beef,115.79
Export,2015,Meat,Pork,372.13
Export,2015,Dairy,Milk,247.75
Export,2015,Beverage,Yoghurt,637.23
Export,2015,Meat,Juice,126.93
Export,2015,Dairy,Coffee,639.27
