Polluted element,Type of pollution,Massachusetts_Boston,Massachusetts_Reno,Nevada_Boulder City,Nevada_Cambridge,Average
Air,,-18.92,-22.42,18.47,-4.26,-6.78
,  Industrial,-34.68,44.69,4.67,66.70,20.34
,  Inorganic Fertilizers,-10.98,-68.64,28.04,-52.63,-26.05
,  Noise,-24.22,-74.07,14.41,72.18,-2.92
,  Surface water,-23.58,51.02,10.06,-59.45,-5.49
,  Urban Activities,-1.16,-65.08,35.18,-48.11,-19.79
Soil,,-26.29,-0.36,14.71,7.24,-1.18
,  Groundwater,-22.11,-75.97,11.72,-56.79,-35.79
,  Industrial,-10.97,61.82,35.09,78.92,41.22
,  Inferior Irrigation,-25.18,-86.64,7.69,67.66,-9.12
,  Solid Waste,-54.93,42.35,2.73,-0.10,-2.49
,  Thermal,-18.24,56.62,16.32,-53.50,0.30
Water,,-21.71,0.61,16.26,20.88,4.01
,  Inferior Irrigation,-7.77,60.79,36.58,78.08,41.92
,  Inorganic Fertilizers,-35.21,42.74,3.59,-63.78,-13.16
,  Light,-23.25,-74.12,14.51,73.06,-2.45
,  Solid Waste,-17.72,56.54,17.30,-52.45,0.92
,  Urban Activities,-24.58,-82.91,9.33,69.50,-7.16
