Quarter,Month,Culture_Hotel,Culture_Theatre,Culture_Workshop,Production_Apartment,Production_Factory,Production_Museum,Residential_Concert,Residential_House
Q2,,90.60,56.42,19.90,75.54,0.20,38.85,27.37,57.91
,  April,92.24,58.20,23.01,85.00,6.27,43.91,32.49,64.54
,  August,97.37,58.21,25.72,88.57,13.30,51.92,39.13,61.55
,  June,90.60,56.42,19.90,75.54,0.20,38.85,27.37,57.91
Q3,,90.23,56.54,22.28,77.12,3.80,43.58,30.25,59.17
,  July,95.65,58.82,24.43,86.11,10.09,47.55,38.55,59.17
,  May,90.23,56.54,22.28,77.12,3.80,43.58,30.25,59.93
,  September,98.48,58.62,27.72,89.79,16.45,52.99,39.41,70.40
Minimum,,90.23,56.42,19.90,75.54,0.20,38.85,27.37,57.91
,  ,90.23,56.42,19.90,75.54,0.20,38.85,27.37,57.91
