Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,November,7.5
Residential,House,Q3,December,8.38
Residential,House,Q4,October,9.76
Residential,House,Q3,September,11.58
Residential,House,Q4,July,14.97
Residential,House,Q3,August,17.14
Production,Apartment,Q4,November,17.13
Production,Apartment,Q3,December,23.9
Production,Apartment,Q4,October,24.44
Production,Apartment,Q3,September,26.71
Production,Apartment,Q4,July,26.87
Production,Apartment,Q3,August,46.03
Residential,Workshop,Q4,November,46.99
Residential,Workshop,Q3,December,49.78
Residential,Workshop,Q4,October,60.41
Residential,Workshop,Q3,September,61.52
Residential,Workshop,Q4,July,63.41
Residential,Workshop,Q3,August,69.29
Production,Factory,Q4,November,73.41
Production,Factory,Q3,December,75.9
Production,Factory,Q4,October,81.87
Production,Factory,Q3,September,96.31
Production,Factory,Q4,July,97.72
Production,Factory,Q3,August,98.99
