Quarter,Month,State,City,Production_Administration,Production_Workshop,Service_Factory,Service_Library,Service_School,Minimum
Q1,June,Georgia,Washington,26.85,62.34,80.17,1.48,44.00,1.48
,March,Georgia,Albany,31.11,63.86,85.38,10.29,53.42,10.29
,May,Georgia,Washington,39.11,75.83,98.17,18.96,59.00,18.96
Q2,January,Georgia,Washington,27.00,63.71,83.85,6.19,52.64,6.19
,July,Georgia,Albany,37.80,73.11,86.59,14.62,53.28,14.62
,May,Georgia,Albany,24.99,61.06,78.23,1.25,38.82,1.25
Q3,April,Georgia,Albany,27.48,63.02,79.10,2.35,47.53,2.35
,June,Georgia,Albany,39.99,78.87,98.35,19.78,60.14,19.78
,September,Georgia,Washington,37.89,67.54,86.35,10.17,54.17,10.17
Minimum,,,,24.99,61.06,78.23,1.25,38.82,1.25
