Category,Item,Export_2015_Q1,Export_2019_Q1,Export_2022_Q1,Average
Beverage,,356.65,602.40,581.85,513.64
,  Duck,67.20,693.38,526.23,428.94
,  Rice,937.26,298.18,509.68,581.71
,  Soda,65.50,815.65,709.64,530.27
Cereals,,482.10,429.94,324.03,412.03
,  Chicken,579.30,436.46,397.05,470.94
,  Coffee,444.71,559.10,195.99,399.93
,  Oats,422.30,294.27,379.06,365.21
Meat,,234.02,541.36,372.08,382.49
,  Oats,74.48,248.65,593.46,305.53
,  Tea,578.68,947.18,393.86,639.91
,  Wheat,48.90,428.25,128.91,202.02
