Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,21-30,1.85
2021,Humidity,31-40,3.47
2021,Temperature,Low,3.69
2021,Humidity,Medium,8.35
2021,Temperature,High,13.9
2021,Humidity,21-30,14.43
2018,Temperature,21-30,15.99
2018,Humidity,31-40,16.3
2018,Temperature,Low,17.17
2018,Humidity,Medium,18.63
2018,Temperature,High,19.98
2018,Humidity,21-30,23.16
2015,Temperature,21-30,23.25
2015,Humidity,31-40,23.42
2015,Temperature,Low,23.09
2015,Humidity,Medium,20.63
2015,Temperature,High,17.37
2015,Humidity,21-30,26.34
