Quarter,Month,Production_School,Production_Workshop,Service_Administration,Service_Factory,Service_Hospital
Q1,,21.04,63.20,43.89,83.64,3.54
,  December,21.04,63.20,43.89,83.64,3.54
,  February,35.72,69.74,49.08,92.17,3.60
,  June,41.86,72.20,57.00,99.15,6.73
Q2,,10.86,57.75,41.50,77.24,1.19
,  April,10.86,57.75,41.50,77.24,1.19
,  January,40.18,70.37,53.78,93.87,7.13
,  October,30.42,63.19,46.41,90.52,4.53
Q4,,15.22,62.46,44.06,78.15,2.08
,  April,41.68,71.79,54.09,97.23,4.23
,  June,15.22,62.46,44.06,78.15,2.08
,  March,35.30,68.19,49.60,91.56,5.82
Minimum,,10.86,57.75,41.50,77.24,1.19
,  ,10.86,57.75,41.50,77.24,1.19
