Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2020,Maryland,Baltimore,Wind,Breeze,0.81
2020,Maryland,Baltimore,Temperature,Storm,1.93
2020,Maryland,Baltimore,Wind,Calm,2.93
2020,Maryland,Baltimore,Temperature,31-40,2.83
2020,Maryland,Baltimore,Wind,0-10,4.04
2020,Maryland,Baltimore,Temperature,Breeze,5.62
2016,Georgia,Aberdeen,Wind,Breeze,5.96
2016,Georgia,Aberdeen,Temperature,Storm,7.26
2016,Georgia,Aberdeen,Wind,Calm,8.03
2016,Georgia,Aberdeen,Temperature,31-40,5.13
2016,Georgia,Aberdeen,Wind,0-10,10.43
2016,Georgia,Aberdeen,Temperature,Breeze,9.03
2018,Florida,Albany,Wind,Breeze,6.71
2018,Florida,Albany,Temperature,Storm,14.84
2018,Florida,Albany,Wind,Calm,14.07
2018,Florida,Albany,Temperature,31-40,16.01
2018,Florida,Albany,Wind,0-10,17.16
2018,Florida,Albany,Temperature,Breeze,17.11
2020,Maryland,Washington,Wind,Breeze,19.03
2020,Maryland,Washington,Temperature,Storm,20.79
2020,Maryland,Washington,Wind,Calm,18.35
2020,Maryland,Washington,Temperature,31-40,22.57
2020,Maryland,Washington,Wind,0-10,23.02
2020,Maryland,Washington,Temperature,Breeze,23.73
2016,Georgia,Tampa,Wind,Breeze,22.5
2016,Georgia,Tampa,Temperature,Storm,26.79
2016,Georgia,Tampa,Wind,Calm,27.06
2016,Georgia,Tampa,Temperature,31-40,27.46
2016,Georgia,Tampa,Wind,0-10,23.88
2016,Georgia,Tampa,Temperature,Breeze,14.1
2018,Florida,Fort Lauderdale,Wind,Breeze,14.43
2018,Florida,Fort Lauderdale,Temperature,Storm,14.81
2018,Florida,Fort Lauderdale,Wind,Calm,16.05
2018,Florida,Fort Lauderdale,Temperature,31-40,16.67
2018,Florida,Fort Lauderdale,Wind,0-10,18.82
2018,Florida,Fort Lauderdale,Temperature,Breeze,19.1
