Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2018,Q1,Traffic,Serious,26.09
Female,2018,Q1,Fire,Serious,58.98
Female,2022,Q2,Traffic,Serious,99.6
Female,2022,Q2,Fire,Serious,11.69
Female,2015,Q1,Traffic,Serious,78.34
Female,2015,Q1,Fire,Serious,47.47
Female,2018,Q2,Traffic,Serious,54.1
Female,2018,Q2,Fire,Serious,23.55
Female,2022,Q1,Traffic,Serious,54.88
Female,2022,Q1,Fire,Serious,58.54
Female,2015,Q2,Traffic,Serious,60.8
Female,2015,Q2,Fire,Serious,93.73
