Polluted element,Type of pollution,Florida_Las Vegas,Florida_Tampa,Nevada_Boulder City,Nevada_Fort Lauderdale,Nevada_Reno,Average
Air,,39.77,60.00,13.72,-16.43,-29.27,13.56
,  Chemical,38.18,14.46,11.67,-17.13,-73.39,-5.24
,  Inorganic Fertilizers,38.36,79.07,7.79,-19.89,-73.18,6.43
,  Noise,42.76,86.45,21.70,-12.26,58.75,39.48
Soil,,-4.54,14.62,12.86,-20.40,34.11,7.33
,  Surface water,36.26,12.16,12.82,-19.85,-9.92,6.29
,  Thermal,41.23,-45.79,20.93,-17.86,57.67,11.24
,  Urban Activities,-91.11,77.49,4.84,-23.49,54.58,4.46
Water,,13.31,11.33,6.99,-1.36,-10.37,3.98
,  Groundwater,28.03,69.98,-0.36,-24.65,53.56,25.31
,  Oxygen-depletion,-28.52,11.35,12.62,39.05,-13.59,4.18
,  Solid Waste,40.41,-47.33,8.70,-18.48,-71.08,-17.56
Average,,16.18,28.65,11.19,-12.73,-1.84,8.29
,  ,16.18,28.65,11.19,-12.73,-1.84,8.29
