Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,May,0.12
Production,Factory,Q3,June,13.45
Production,Factory,Q2,July,16.64
Production,Factory,Q3,September,17.87
Production,Factory,Q2,August,17.33
Production,Factory,Q3,May,18.67
Residential,Workshop,Q2,May,19.97
Residential,Workshop,Q3,June,19.86
Residential,Workshop,Q2,July,22.93
Residential,Workshop,Q3,September,18.65
Residential,Workshop,Q2,August,27.42
Residential,Workshop,Q3,May,32.08
Culture,Apartment,Q2,May,34.36
Culture,Apartment,Q3,June,37.35
Culture,Apartment,Q2,July,38.06
Culture,Apartment,Q3,September,39.49
Culture,Apartment,Q2,August,42.92
Culture,Apartment,Q3,May,43.87
Production,House,Q2,May,48.78
Production,House,Q3,June,51.85
Production,House,Q2,July,52.3
Production,House,Q3,September,51.31
Production,House,Q2,August,65.45
Production,House,Q3,May,68.37
Residential,Hotel,Q2,May,68.76
Residential,Hotel,Q3,June,74.47
Residential,Hotel,Q2,July,75.22
Residential,Hotel,Q3,September,78.81
Residential,Hotel,Q2,August,79.05
Residential,Hotel,Q3,May,82.13
Culture,Theatre,Q2,May,83.93
Culture,Theatre,Q3,June,86.84
Culture,Theatre,Q2,July,87.89
Culture,Theatre,Q3,September,86.85
Culture,Theatre,Q2,August,89.01
Culture,Theatre,Q3,May,88.09
Production,Museum,Q2,May,92.02
Production,Museum,Q3,June,93.63
Production,Museum,Q2,July,93.18
Production,Museum,Q3,September,94.71
Production,Museum,Q2,August,95.93
Production,Museum,Q3,May,99.7
