State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Florida,Fort Lauderdale,2018,Water,Chemical,99.39
Florida,Fort Lauderdale,2018,Soil,Surface water,-28.46
Florida,Fort Lauderdale,2018,Water,Inorganic Fertilizers,67.49
Florida,Fort Lauderdale,2018,Soil,Inferior Irrigation,36.65
Georgia,Tampa,2017,Water,Chemical,39.26
Georgia,Tampa,2017,Soil,Surface water,-88.61
Georgia,Tampa,2017,Water,Inorganic Fertilizers,8.37
Georgia,Tampa,2017,Soil,Inferior Irrigation,-22.58
Florida,Columbus,2021,Water,Chemical,-22.94
Florida,Columbus,2021,Soil,Surface water,-83.98
Florida,Columbus,2021,Water,Inorganic Fertilizers,-12.98
Florida,Columbus,2021,Soil,Inferior Irrigation,87.98
Georgia,Albany,2018,Water,Chemical,-8.73
Georgia,Albany,2018,Soil,Surface water,-39.31
Georgia,Albany,2018,Water,Inorganic Fertilizers,56.93
Georgia,Albany,2018,Soil,Inferior Irrigation,93.67
