Characteristic,Intensity,2015_California_Flint,2015_Georgia_Columbus,2015_Michigan_Berkeley,2015_Michigan_Port Huron,2016_California_Los-Angeles,2016_Georgia_Detroit,2016_Georgia_San Francisco,2016_Michigan_Washington,Maximum
Humidity,,25.25,26.82,19.22,6.38,26.97,12.74,27.29,26.64,27.29
,  11-20,22.39,1.95,19.22,4.43,14.75,11.31,3.22,26.64,26.64
,  Breeze,25.25,12.59,19.04,6.38,26.97,12.74,27.29,6.73,27.29
,  Storm,19.25,26.82,17.51,0.71,13.55,7.68,19.32,25.96,26.82
Temperature,,26.09,12.46,19.73,8.63,16.09,17.03,4.01,27.86,27.86
,  31-40,23.24,11.88,19.73,5.03,15.49,14.47,3.89,26.42,26.42
,  Medium,19.94,10.26,0.43,2.22,14.30,8.02,1.76,23.50,23.50
,  Storm,26.09,12.46,19.14,8.63,16.09,17.03,4.01,27.86,27.86
Wind,,21.02,11.58,19.55,6.99,15.64,15.43,25.06,27.98,27.98
,  0-10,19.31,11.58,19.55,6.99,15.64,15.43,1.16,0.60,19.55
,  Breeze,17.55,7.32,16.12,0.44,13.73,7.37,20.27,26.86,26.86
,  High,21.02,10.69,18.92,2.55,14.52,9.50,25.06,27.98,27.98
Maximum,,26.09,26.82,19.73,8.63,26.97,17.03,27.29,27.98,27.98
,  ,26.09,26.82,19.73,8.63,26.97,17.03,27.29,27.98,27.98
