Quarter,Month,Culture_Museum,Culture_Workshop,Production_Factory,Production_Theatre
Q1,,69.91,29.62,8.61,55.19
,  February,85.91,33.29,11.21,59.81
,  June,97.70,42.65,16.72,65.00
,  October,69.91,29.62,8.61,55.19
Q2,,72.10,30.90,9.12,56.33
,  April,95.26,34.68,12.13,64.63
,  March,72.10,30.90,9.12,56.33
,  November,98.58,45.74,21.88,67.08
Q4,,69.00,25.73,2.31,51.25
,  January,84.70,29.33,10.86,59.01
,  May,96.73,35.00,13.94,65.67
,  November,69.00,25.73,2.31,51.25
Minimum,,69.00,25.73,2.31,51.25
,  ,69.00,25.73,2.31,51.25
