Characteristic,Intensity,2016_Florida_Rochester,2016_Massachusetts_Cambridge,2016_Minnesota_Tampa,2020_Florida_Fort Lauderdale,2020_Massachusetts_Minneapolis,2020_Minnesota_Lenox,Maximum
Humidity,,20.33,26.26,8.92,4.21,14.21,26.08,26.26
,  Breeze,19.47,1.04,4.24,4.21,14.21,24.39,24.39
,  High,13.13,26.26,4.56,0.40,12.66,24.29,26.26
,  Low,20.33,26.02,8.92,0.67,14.09,26.08,26.08
Wind,,20.31,26.59,8.77,5.52,15.28,27.46,27.46
,  Calm,19.88,11.46,6.90,3.96,15.28,27.44,27.44
,  Medium,15.64,26.59,7.99,0.48,13.43,25.05,26.59
,  Storm,20.31,4.78,8.77,5.52,14.79,27.46,27.46
Maximum,,20.33,26.59,8.92,5.52,15.28,27.46,27.46
,  ,20.33,26.59,8.92,5.52,15.28,27.46,27.46
