Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Minnesota,Hastings,Temperature,31-40,1.33
2021,Minnesota,Hastings,Wind,0-10,2.85
2021,Minnesota,Hastings,Humidity,Storm,3.7
2021,Minnesota,Hastings,Temperature,Calm,4.61
2021,Minnesota,Hastings,Wind,High,5.35
2021,Minnesota,Hastings,Humidity,Medium,6.44
2016,Nevada,Minneapolis,Temperature,31-40,6.4
2016,Nevada,Minneapolis,Wind,0-10,8.99
2016,Nevada,Minneapolis,Humidity,Storm,5.64
2016,Nevada,Minneapolis,Temperature,Calm,10.87
2016,Nevada,Minneapolis,Wind,High,9.74
2016,Nevada,Minneapolis,Humidity,Medium,12.05
2021,Massachusetts,Rochester,Temperature,31-40,11.6
2021,Massachusetts,Rochester,Wind,0-10,13.11
2021,Massachusetts,Rochester,Humidity,Storm,6.19
2021,Massachusetts,Rochester,Temperature,Calm,16.4
2021,Massachusetts,Rochester,Wind,High,17.59
2021,Massachusetts,Rochester,Humidity,Medium,18.17
2016,Minnesota,Reno,Temperature,31-40,16.35
2016,Minnesota,Reno,Wind,0-10,20.03
2016,Minnesota,Reno,Humidity,Storm,21.85
2016,Minnesota,Reno,Temperature,Calm,20.42
2016,Minnesota,Reno,Wind,High,21.18
2016,Minnesota,Reno,Humidity,Medium,24.51
2021,Nevada,Las Vegas,Temperature,31-40,25.17
2021,Nevada,Las Vegas,Wind,0-10,26.89
2021,Nevada,Las Vegas,Humidity,Storm,25.21
2021,Nevada,Las Vegas,Temperature,Calm,21.4
2021,Nevada,Las Vegas,Wind,High,25.34
2021,Nevada,Las Vegas,Humidity,Medium,23.06
2016,Massachusetts,Cambridge,Temperature,31-40,26.23
2016,Massachusetts,Cambridge,Wind,0-10,27.23
2016,Massachusetts,Cambridge,Humidity,Storm,8.58
2016,Massachusetts,Cambridge,Temperature,Calm,8.92
2016,Massachusetts,Cambridge,Wind,High,9.94
2016,Massachusetts,Cambridge,Humidity,Medium,9.63
2021,Minnesota,Lenox,Temperature,31-40,10.4
2021,Minnesota,Lenox,Wind,0-10,11.66
2021,Minnesota,Lenox,Humidity,Storm,11.7
2021,Minnesota,Lenox,Temperature,Calm,12.38
2021,Minnesota,Lenox,Wind,High,13.12
2021,Minnesota,Lenox,Humidity,Medium,13.15
2016,Nevada,Boston,Temperature,31-40,1.08
2016,Nevada,Boston,Wind,0-10,4.11
2016,Nevada,Boston,Humidity,Storm,18.71
2016,Nevada,Boston,Temperature,Calm,6.97
2016,Nevada,Boston,Wind,High,20.63
2016,Nevada,Boston,Humidity,Medium,21.99
