Characteristic,Intensity,2015_Georgia_Boulder City,2015_Georgia_Cambridge,2015_Massachusetts_Washington,2015_Nevada_Albany,2016_Georgia_Columbus,2016_Massachusetts_Reno,2016_Nevada_Las Vegas,2016_Nevada_Lenox
Humidity,,15.40,21.04,14.49,27.58,10.92,24.94,6.31,16.18
,  31-40,11.06,2.65,13.53,21.48,3.36,4.91,3.04,5.87
,  High,9.63,21.04,11.52,27.58,8.69,13.99,0.33,16.18
,  Storm,15.40,3.23,14.49,25.46,10.92,24.94,6.31,3.01
Temperature,,15.46,22.20,26.77,27.38,10.41,25.27,7.97,20.73
,  0-10,9.40,1.26,13.23,6.91,3.03,22.03,3.25,6.06
,  Calm,15.46,22.20,16.13,27.32,10.41,25.27,7.97,20.73
,  Medium,10.65,21.96,26.77,27.38,9.23,19.79,1.42,16.05
Wind,,17.50,22.63,16.35,23.97,10.13,26.14,8.81,19.93
,  Breeze,5.73,22.63,14.18,23.97,10.13,23.99,3.69,19.93
,  High,17.50,22.35,16.35,6.90,10.10,26.14,8.81,0.82
,  Low,10.27,2.48,4.23,21.32,3.77,17.71,2.54,4.45
