Quarter,Month,Culture_Administration,Culture_Concert,Culture_Hospital,Service_Library,Service_Museum,State,City
Q1,,60.08,11.57,84.92,74.65,35.12,,
,  December,60.08,11.57,84.92,74.65,35.12,Florida,Boulder City
,  January,62.91,19.01,87.33,79.29,52.38,Florida,Reno
,  November,64.45,27.27,95.48,81.18,58.23,Florida,Fort Lauderdale
Q4,,58.74,6.03,83.85,73.44,30.86,,
,  February,63.30,25.52,91.41,80.47,53.40,Nevada,Boulder City
,  March,60.52,13.40,85.15,77.09,50.15,Nevada,Fort Lauderdale
,  November,58.74,6.03,83.85,73.44,30.86,Nevada,Reno
Minimum,,58.74,6.03,83.85,73.44,30.86,,
,  ,58.74,6.03,83.85,73.44,30.86,,
