Quarter,Month,Production_Administration,Production_House,Production_Workshop,Residential_Hotel,Residential_Library,Service_Apartment,Service_Factory,Service_Hospital,Minimum,State,City
Q2,,34.35,79.77,0.79,15.72,17.42,93.79,10.65,48.72,0.79,,
,  July,43.02,88.48,8.41,15.72,27.96,98.59,16.60,63.67,8.41,Florida,Fort Lauderdale
,  June,35.74,79.77,0.79,70.14,20.42,93.79,10.65,48.72,0.79,Florida,Fort Lauderdale
,  October,34.35,87.59,3.19,71.73,17.42,96.92,14.75,60.19,3.19,Georgia,Albany
Q3,,37.00,86.42,2.32,14.59,22.90,93.41,13.85,58.33,2.32,,
,  August,43.75,89.69,7.28,14.59,26.06,97.48,16.32,62.03,7.28,Georgia,Albany
,  June,45.57,92.70,10.67,92.15,34.57,94.62,17.87,67.15,10.67,Florida,Fort Lauderdale
,  November,37.00,86.42,2.32,72.49,22.90,93.41,13.85,58.33,2.32,Florida,Fort Lauderdale
Q4,,35.41,84.55,1.12,15.91,15.87,93.11,9.52,55.39,1.12,,
,  December,35.41,86.51,6.63,70.53,15.87,97.26,9.52,61.83,6.63,Florida,Fort Lauderdale
,  May,36.16,84.55,1.12,71.52,21.45,93.11,10.06,55.39,1.12,Georgia,Albany
,  September,45.28,86.54,8.68,15.91,30.83,98.46,18.54,60.39,8.68,Georgia,Albany
Minimum,,34.35,79.77,0.79,14.59,15.87,93.11,9.52,48.72,0.79,,
,  ,34.35,79.77,0.79,14.59,15.87,93.11,9.52,48.72,0.79,,
