State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Massachusetts,Lenox,2018,Water,Groundwater,6.76
Massachusetts,Lenox,2018,Air,Surface water,7.52
Massachusetts,Lenox,2018,Water,Chemical,8.21
Massachusetts,Lenox,2018,Air,Oxygen-depletion,6.34
Massachusetts,Lenox,2018,Water,Thermal,21.82
Massachusetts,Lenox,2018,Air,Light,24.59
Massachusetts,Lenox,2018,Water,Noise,26.5
Massachusetts,Lenox,2018,Air,Groundwater,-98.9
Illinois,Cambridge,2015,Water,Groundwater,34.66
Illinois,Cambridge,2015,Air,Surface water,-90.96
Illinois,Cambridge,2015,Water,Chemical,-89.01
Illinois,Cambridge,2015,Air,Oxygen-depletion,-90.58
Illinois,Cambridge,2015,Water,Thermal,38.98
Illinois,Cambridge,2015,Air,Light,-84.72
Illinois,Cambridge,2015,Water,Noise,-83.75
Illinois,Cambridge,2015,Air,Groundwater,47.35
Massachusetts,Boston,2017,Water,Groundwater,-80.87
Massachusetts,Boston,2017,Air,Surface water,-79.36
Massachusetts,Boston,2017,Water,Chemical,-77.61
Massachusetts,Boston,2017,Air,Oxygen-depletion,-73.45
Massachusetts,Boston,2017,Water,Thermal,56.53
Massachusetts,Boston,2017,Air,Light,-69.23
Massachusetts,Boston,2017,Water,Noise,61.94
Massachusetts,Boston,2017,Air,Groundwater,-66.23
Illinois,Champaign,2021,Water,Groundwater,63.24
Illinois,Champaign,2021,Air,Surface water,-67.37
Illinois,Champaign,2021,Water,Chemical,69.2
Illinois,Champaign,2021,Air,Oxygen-depletion,71.49
Illinois,Champaign,2021,Water,Thermal,-57.63
Illinois,Champaign,2021,Air,Light,-55.59
Illinois,Champaign,2021,Water,Noise,71.94
Illinois,Champaign,2021,Air,Groundwater,-53.14
Massachusetts,Chicago,2018,Water,Groundwater,-57.59
Massachusetts,Chicago,2018,Air,Surface water,80.9
Massachusetts,Chicago,2018,Water,Chemical,81.78
Massachusetts,Chicago,2018,Air,Oxygen-depletion,-43.68
Massachusetts,Chicago,2018,Water,Thermal,-37.5
Massachusetts,Chicago,2018,Air,Light,92.1
Massachusetts,Chicago,2018,Water,Noise,-31.93
Massachusetts,Chicago,2018,Air,Groundwater,98.52
Illinois,Springfield,2015,Water,Groundwater,98.98
Illinois,Springfield,2015,Air,Surface water,-27.55
Illinois,Springfield,2015,Water,Chemical,-22.85
Illinois,Springfield,2015,Air,Oxygen-depletion,-21.46
Illinois,Springfield,2015,Water,Thermal,-21.0
Illinois,Springfield,2015,Air,Light,-15.95
Illinois,Springfield,2015,Water,Noise,-12.86
Illinois,Springfield,2015,Air,Groundwater,-2.49
