Characteristic,Intensity,2017_Massachusetts_Boulder City,2017_Massachusetts_Lenox,2020_Nevada_Boston,2020_Nevada_Reno
Maximum,,17.08,24.52,26.49,9.03
,  ,17.08,24.52,26.49,9.03
Humidity,,17.05,20.92,26.12,5.25
,  31-40,12.36,13.90,22.91,1.29
,  Calm,11.44,20.92,20.97,2.97
,  Storm,17.05,19.26,26.12,5.25
Temperature,,17.08,19.87,26.49,9.03
,  0-10,15.00,1.46,24.72,6.82
,  Calm,17.08,19.87,26.49,9.03
,  Medium,12.71,10.90,21.15,2.05
Wind,,15.12,24.52,20.18,7.02
,  11-20,15.12,15.72,19.41,7.02
,  Low,10.39,11.91,20.18,4.79
,  Storm,10.57,24.52,15.79,1.16
