Polluted element,Type of pollution,California_Berkeley,California_Hastings,Minnesota_Malibu,Minnesota_Minneapolis,Minnesota_Rochester
Air,Groundwater,83.76,-84.88,97.41,24.73,-68.76
,Solid Waste,-40.40,41.84,-15.97,-98.06,63.18
,Thermal,76.55,-87.70,-31.92,10.05,-71.91
,Urban Activities,59.87,-90.34,-33.28,0.66,50.96
Soil,Industrial,-57.27,-90.66,-33.53,8.09,-72.51
,Inferior Irrigation,-89.08,37.55,93.08,-0.30,-88.80
,Oxygen-depletion,83.59,39.53,-28.02,22.83,-71.07
,Urban Activities,88.14,-87.77,-15.88,30.94,-66.43
Water,Industrial,-36.08,-80.44,-7.67,35.74,-66.58
,Inferior Irrigation,-43.85,45.73,-25.22,29.06,-70.95
,Noise,81.17,-87.39,99.33,17.57,58.61
,Solid Waste,-61.83,-89.59,95.68,1.71,54.27
Average,,12.05,-44.51,16.17,6.92,-29.17
