Polluted element,Type of pollution,Florida_Boston,Florida_Fort Lauderdale,Massachusetts_Cambridge,Massachusetts_Hastings,Massachusetts_Tampa,Minnesota_Lenox,Minnesota_Minneapolis
Air,,49.63,-66.86,18.99,-11.94,-68.47,81.73,-42.71
,  Chemical,35.23,-77.36,11.76,-24.49,-0.41,68.02,-50.91
,  Inorganic Fertilizers,45.43,-69.71,18.04,-14.70,-95.68,76.86,-45.24
,  Noise,52.62,-62.50,21.08,-7.22,-91.35,89.03,-40.87
,  Oxygen-depletion,65.23,-57.89,25.10,-1.36,-86.45,93.00,-33.83
Soil,,35.04,-69.02,16.48,-14.72,-46.26,80.72,-44.59
,  Inferior Irrigation,51.27,-66.32,18.46,-8.96,-91.63,88.78,-42.66
,  Light,64.18,-58.64,24.61,-4.19,-91.65,94.72,-33.86
,  Solid Waste,-4.64,-71.77,17.48,-16.93,-99.98,71.19,-48.80
,  Surface water,29.34,-79.33,5.37,-28.80,98.22,68.20,-53.02
Water,,45.20,-71.11,15.21,-17.24,-46.07,76.70,-46.02
,  Groundwater,42.50,-73.32,15.39,-23.01,-99.40,70.74,-48.17
,  Industrial,48.16,-68.86,19.53,-11.28,-92.29,77.89,-42.77
,  Oxygen-depletion,26.42,-80.41,2.75,-29.61,97.31,64.46,-57.79
,  Thermal,63.72,-61.84,23.17,-5.05,-89.89,93.73,-35.33
Average,,43.29,-69.00,16.89,-14.63,-53.60,79.72,-44.44
,  ,43.29,-69.00,16.89,-14.63,-53.60,79.72,-44.44
