Polluted element,Type of pollution,Georgia_Cambridge_2017,Georgia_Columbus_2015,Massachusetts_Lenox_2015,Massachusetts_Washington_2022,Average
Air,Noise,38.85,-37.81,6.95,-63.13,-13.79
,Solid Waste,-84.47,95.86,18.99,-56.04,-6.42
,Surface water,-75.65,-22.10,-97.69,-47.10,-60.63
Soil,Inorganic Fertilizers,45.44,96.72,19.99,74.76,59.23
,Light,-86.98,-35.33,8.64,66.41,-11.82
,Oxygen-depletion,-70.81,-21.71,33.69,86.91,7.02
Water,Chemical,42.13,-25.71,23.37,75.31,28.78
,Noise,58.41,-14.97,-94.14,90.87,10.04
,Thermal,-85.80,94.17,9.88,-63.07,-11.20
Average,,-24.32,14.35,-7.81,18.32,0.13
