Category,Item,Export_2018_Q3,Export_2019_Q3,Export_2020_Q3,Average
Beverage,,430.60,400.65,519.81,450.36
,  Beef,427.51,826.48,583.80,612.60
,  Milk,631.12,193.18,273.02,365.77
,  Soda,233.17,182.30,702.62,372.70
Dairy,,562.53,661.98,611.97,612.16
,  Cheese,559.43,833.22,718.05,703.57
,  Pork,234.43,570.17,835.78,546.79
,  Soda,893.73,582.56,282.10,586.13
Meat,,517.33,659.64,353.05,510.01
,  Cream,439.33,965.53,344.65,583.17
,  Lamb,301.78,444.32,458.31,401.47
,  Tea,810.89,569.06,256.19,545.38
