Quarter,Month,Culture_Administration,Culture_Theatre,Residential_Hotel,Residential_Library,Residential_Museum,Service_Apartment,Service_Concert,Service_Hospital
Minimum,,24.42,70.69,1.82,37.86,79.16,6.99,91.30,50.95
,  ,24.42,70.69,1.82,37.86,79.16,6.99,91.30,50.95
Q2,,24.42,70.69,1.82,37.86,79.16,8.09,91.90,50.95
,  April,24.42,70.69,1.82,37.86,79.16,8.09,91.90,50.95
,  August,29.88,73.11,3.96,41.10,84.21,11.56,95.25,54.96
,  September,34.98,74.51,6.45,48.88,90.05,18.02,97.56,55.64
Q3,,24.96,72.18,2.91,41.02,80.73,6.99,91.30,52.51
,  April,35.63,76.69,7.45,48.64,91.02,18.20,97.91,66.40
,  July,33.03,74.06,3.51,41.02,87.58,15.49,96.53,55.07
,  June,24.96,72.18,2.91,41.22,80.73,6.99,91.30,52.51
