Quarter,Month,State,City,Culture_Apartment,Culture_Concert,Culture_Theatre,Residential_House,Residential_Museum,Minimum
Q2,June,Michigan,Port Huron,82.90,45.61,3.78,68.68,24.41,3.78
,October,Illinois,Champaign,88.19,54.75,10.62,71.30,33.46,10.62
,September,Michigan,Chicago,89.42,65.54,19.87,79.91,42.36,19.87
Q3,April,Michigan,Port Huron,94.41,67.96,24.27,81.81,45.48,24.27
,July,Illinois,Detroit,87.01,61.33,12.51,75.96,41.40,12.51
,November,Michigan,Chicago,87.16,48.65,8.66,69.76,29.45,8.66
Q4,April,Illinois,Detroit,84.21,48.46,4.20,69.17,27.70,4.20
,December,Michigan,Port Huron,89.18,56.72,12.29,74.28,35.73,12.29
,June,Illinois,Champaign,88.68,66.06,20.66,80.31,43.10,20.66
Minimum,,,,82.90,45.61,3.78,68.68,24.41,3.78
