Quarter,Month,Culture_School,Culture_Theatre,Culture_Workshop,Production_Administration,Production_Factory,Production_Museum,Service_Concert,Service_Library
Q1,,80.13,2.97,36.93,89.29,45.25,13.83,25.65,63.23
,  February,80.13,2.97,36.93,89.29,45.25,13.83,25.65,63.23
,  March,82.31,7.12,40.84,92.17,52.59,16.91,31.09,66.91
,  May,83.47,7.29,42.87,97.11,56.28,20.54,33.47,76.57
Q2,,81.39,4.01,39.14,90.44,45.65,14.46,29.16,64.44
,  April,81.83,8.20,39.20,96.90,55.55,17.37,31.26,71.14
,  February,88.07,12.98,44.23,99.66,61.06,24.70,34.14,78.71
,  January,81.39,4.01,39.14,90.44,45.65,14.46,29.16,64.44
Minimum,,80.13,2.97,36.93,89.29,45.25,13.83,25.65,63.23
,  ,80.13,2.97,36.93,89.29,45.25,13.83,25.65,63.23
