Characteristic,Intensity,2015_Florida_Tampa,2015_Illinois_Salem,2015_Oregon_Chicago,2021_Florida_Champaign,2021_Illinois_Springfield,2021_Oregon_Fort Lauderdale,2021_Oregon_Portland,Maximum
Humidity,11-20,16.20,13.89,27.76,23.50,11.40,22.93,5.64,27.76
,Calm,15.65,11.15,26.60,16.36,9.15,0.57,3.17,26.60
,Low,14.03,9.82,27.03,18.06,4.90,6.71,0.12,27.03
Temperature,0-10,16.42,14.52,26.50,23.56,10.56,22.49,5.27,26.50
,High,18.70,17.00,1.50,26.03,4.23,25.06,5.99,26.03
,Medium,15.39,11.78,22.55,20.33,3.92,20.00,2.01,22.55
Wind,Breeze,15.76,13.99,26.18,22.58,9.59,21.36,1.22,26.18
,High,15.64,10.91,27.05,10.88,8.33,20.54,1.04,27.05
,Low,17.25,8.77,25.41,24.12,12.77,24.87,7.04,25.41
Maximum,,18.70,17.00,27.76,26.03,12.77,25.06,7.04,27.76
