Polluted element,Type of pollution,Florida_Baltimore,Florida_Tampa,Maryland_Columbia,Maryland_Fort Lauderdale,Maryland_Port Huron,Michigan_Aberdeen,Michigan_Flint
Average,,-19.98,37.41,7.02,-28.61,-10.22,-54.82,25.14
,  ,-19.98,37.41,7.02,-28.61,-10.22,-54.82,25.14
Air,,-34.26,6.17,7.80,-43.48,-25.75,-54.15,25.05
,  Industrial,-98.16,-61.79,5.23,-78.10,-28.94,-87.81,91.56
,  Inorganic Fertilizers,-92.62,-50.41,14.56,-69.84,-16.38,-82.68,-34.47
,  Noise,32.29,74.40,8.29,54.44,-25.81,44.60,-37.94
,  Solid Waste,21.45,62.47,3.11,-80.43,-31.89,-90.72,81.03
Soil,,-5.70,68.65,6.25,-13.75,5.32,-55.49,25.23
,  Inorganic Fertilizers,15.06,60.54,0.74,-83.95,-31.28,-91.59,-47.19
,  Light,34.33,77.65,10.39,-75.41,-20.12,-83.48,94.15
,  Thermal,-97.02,72.45,8.15,53.59,-26.85,-86.83,92.01
,  Urban Activities,24.84,63.96,5.70,50.79,99.51,39.92,-38.04
