Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2019,Q3,Meat,Chicken,259.02
Import,2019,Q3,Cereals,Lamb,891.13
Import,2019,Q3,Dairy,Camel,518.19
Import,2019,Q3,Meat,Soybeans,519.95
Import,2019,Q3,Cereals,Rice,139.01
Import,2019,Q3,Dairy,Wheat,784.4
Import,2019,Q3,Meat,Cream,913.74
Import,2019,Q3,Cereals,Cheese,147.29
Import,2019,Q3,Dairy,Chicken,405.75
Import,2018,Q3,Meat,Chicken,790.18
Import,2018,Q3,Cereals,Lamb,407.96
Import,2018,Q3,Dairy,Camel,668.71
Import,2018,Q3,Meat,Soybeans,414.05
Import,2018,Q3,Cereals,Rice,30.41
Import,2018,Q3,Dairy,Wheat,417.07
Import,2018,Q3,Meat,Cream,36.32
Import,2018,Q3,Cereals,Cheese,934.09
Import,2018,Q3,Dairy,Chicken,936.82
Import,2017,Q3,Meat,Chicken,941.88
Import,2017,Q3,Cereals,Lamb,686.59
Import,2017,Q3,Dairy,Camel,305.73
Import,2017,Q3,Meat,Soybeans,307.31
Import,2017,Q3,Cereals,Rice,828.18
Import,2017,Q3,Dairy,Wheat,831.53
Import,2017,Q3,Meat,Cream,578.82
Import,2017,Q3,Cereals,Cheese,459.63
Import,2017,Q3,Dairy,Chicken,589.07
Import,2019,Q3,Meat,Chicken,334.42
Import,2019,Q3,Cereals,Lamb,79.1
Import,2019,Q3,Dairy,Camel,464.75
Import,2019,Q3,Meat,Soybeans,853.35
Import,2019,Q3,Cereals,Rice,860.06
Import,2019,Q3,Dairy,Wheat,350.23
Import,2019,Q3,Meat,Cream,990.41
Import,2019,Q3,Cereals,Cheese,224.48
Import,2019,Q3,Dairy,Chicken,481.62
Import,2018,Q3,Meat,Chicken,994.13
Import,2018,Q3,Cereals,Lamb,991.26
Import,2018,Q3,Dairy,Camel,364.76
Import,2018,Q3,Meat,Soybeans,365.72
Import,2018,Q3,Cereals,Rice,368.69
Import,2018,Q3,Dairy,Wheat,370.99
Import,2018,Q3,Meat,Cream,626.87
Import,2018,Q3,Cereals,Cheese,379.09
Import,2018,Q3,Dairy,Chicken,509.43
