Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2015,Beverage,Soda,643.5
Export,2015,Meat,Coffee,138.79
Export,2015,Cereals,Camel,267.24
Export,2015,Beverage,Duck,18.58
Export,2015,Meat,Wheat,152.1
Export,2015,Cereals,Corn,538.98
Export,2020,Beverage,Soda,286.57
Export,2020,Meat,Coffee,928.2
Export,2020,Cereals,Camel,804.7
Export,2020,Beverage,Duck,809.96
Export,2020,Meat,Wheat,939.36
Export,2020,Cereals,Corn,433.84
Export,2022,Beverage,Soda,436.54
Export,2022,Meat,Coffee,820.74
Export,2022,Cereals,Camel,442.08
Export,2022,Beverage,Duck,578.56
Export,2022,Meat,Wheat,585.61
Export,2022,Cereals,Corn,210.15
Export,2015,Beverage,Soda,596.0
Export,2015,Meat,Coffee,86.32
Export,2015,Cereals,Camel,348.33
Export,2015,Beverage,Duck,369.49
Export,2015,Meat,Wheat,249.3
Export,2015,Cereals,Corn,253.02
