Polluted element,Type of pollution,California_Malibu_2017,California_Reno_2022,Minnesota_Las Vegas_2016,Minnesota_Minneapolis_2015,Nevada_Los-Angeles_2015,Nevada_Rochester_2017,Average
Air,Chemical,12.68,68.93,50.59,-23.18,38.32,83.41,38.46
,Industrial,4.89,-64.43,-81.80,99.44,35.75,-49.12,-9.21
,Surface water,21.40,-57.75,47.73,-11.52,41.49,90.76,22.02
,Thermal,23.75,-61.23,58.53,-5.87,42.67,95.24,25.52
Soil,Groundwater,21.05,70.57,-76.98,-15.85,-88.57,-42.72,-22.08
,Industrial,24.98,73.90,57.79,-9.27,43.09,-33.44,26.18
,Inferior Irrigation,3.16,59.32,-82.84,-30.65,-94.68,-87.38,-38.84
,Light,5.29,67.65,-79.29,-24.00,37.28,-47.60,-6.78
Water,Inferior Irrigation,23.20,-58.60,-72.91,-10.83,-86.29,-36.63,-40.34
,Light,33.43,75.70,-69.50,-4.69,-91.84,-33.42,-15.05
,Oxygen-depletion,20.58,-60.30,-79.90,-21.93,39.82,-9.55,-18.55
,Thermal,5.63,65.66,-81.01,-27.92,34.07,81.89,13.05
