Polluted element,Type of pollution,Michigan_Detroit,Michigan_Minneapolis,Michigan_Rochester,Minnesota_Flint,Minnesota_Hastings
Air,Groundwater,16.57,-66.73,-17.18,-84.01,-39.43
,Inorganic Fertilizers,31.58,71.03,-3.97,-73.40,96.48
,Thermal,23.45,-67.01,-13.06,-76.10,-36.12
,Urban Activities,9.80,55.50,-25.17,-91.15,79.64
Soil,Industrial,13.45,-68.72,-21.88,-87.00,-45.06
,Inorganic Fertilizers,-0.68,55.10,-30.49,-99.00,-55.14
,Light,-99.19,64.21,-10.39,53.57,93.88
,Oxygen-depletion,20.26,63.60,-13.35,-80.68,89.54
Water,Chemical,22.67,-64.31,-12.79,-77.42,-37.13
,Noise,29.74,68.81,-8.85,-73.21,-33.67
,Solid Waste,6.70,-70.06,-26.77,-92.62,-50.90
,Surface water,16.91,61.49,-17.43,42.51,88.20
